0.000000 10 0.100000
0.000000 300 0.003333
1.306295   1.375359   1.446925   1.520991   1.597548   1.676580   1.758069   1.841987   1.928303   2.016979   2.107975   
1.304697   1.373702   1.445209   1.519216   1.595714   1.674689   1.756120   1.839981   1.926241   2.014863   2.105804   
1.303100   1.372047   1.443495   1.517443   1.593882   1.672799   1.754173   1.837977   1.924181   2.012747   2.103634   
1.301505   1.370392   1.441782   1.515671   1.592052   1.670910   1.752226   1.835974   1.922122   2.010633   2.101466   
1.299911   1.368740   1.440070   1.513900   1.590223   1.669023   1.750282   1.833972   1.920064   2.008520   2.099299   
1.298319   1.367088   1.438360   1.512131   1.588395   1.667137   1.748338   1.831972   1.918007   2.006408   2.097133   
1.296728   1.365438   1.436651   1.510364   1.586569   1.665253   1.746396   1.829973   1.915952   2.004298   2.094968   
1.295138   1.363790   1.434943   1.508597   1.584744   1.663370   1.744455   1.827975   1.913898   2.002189   2.092805   
1.293550   1.362143   1.433237   1.506832   1.582920   1.661488   1.742516   1.825979   1.911846   2.000081   2.090643   
1.291963   1.360497   1.431533   1.505069   1.581098   1.659607   1.740578   1.823983   1.909794   1.997974   2.088482   
1.290377   1.358853   1.429829   1.503306   1.579277   1.657728   1.738641   1.821990   1.907744   1.995869   2.086323   
1.288793   1.357210   1.428127   1.501546   1.577458   1.655851   1.736706   1.819997   1.905696   1.993765   2.084165   
1.287211   1.355568   1.426427   1.499786   1.575640   1.653974   1.734772   1.818006   1.903648   1.991662   2.082008   
1.285629   1.353928   1.424727   1.498028   1.573823   1.652099   1.732839   1.816017   1.901602   1.989561   2.079852   
1.284049   1.352289   1.423030   1.496271   1.572008   1.650226   1.730908   1.814028   1.899558   1.987461   2.077697   
1.282471   1.350651   1.421333   1.494516   1.570194   1.648354   1.728978   1.812041   1.897514   1.985362   2.075544   
1.280894   1.349015   1.419638   1.492762   1.568381   1.646483   1.727049   1.810055   1.895472   1.983265   2.073392   
1.279318   1.347381   1.417945   1.491010   1.566570   1.644614   1.725122   1.808071   1.893432   1.981169   2.071242   
1.277743   1.345747   1.416252   1.489259   1.564760   1.642745   1.723196   1.806088   1.891392   1.979074   2.069092   
1.276170   1.344116   1.414562   1.487509   1.562952   1.640879   1.721272   1.804106   1.889354   1.976980   2.066944   
1.274599   1.342485   1.412872   1.485761   1.561145   1.639013   1.719348   1.802126   1.887318   1.974888   2.064798   
1.273029   1.340856   1.411184   1.484014   1.559339   1.637149   1.717427   1.800147   1.885282   1.972797   2.062652   
1.271460   1.339228   1.409497   1.482268   1.557535   1.635287   1.715506   1.798170   1.883248   1.970707   2.060508   
1.269892   1.337602   1.407812   1.480524   1.555732   1.633426   1.713587   1.796193   1.881215   1.968619   2.058365   
1.268326   1.335977   1.406128   1.478781   1.553931   1.631566   1.711669   1.794218   1.879184   1.966532   2.056223   
1.266761   1.334353   1.404446   1.477040   1.552131   1.629707   1.709753   1.792245   1.877154   1.964446   2.054083   
1.265198   1.332731   1.402765   1.475300   1.550332   1.627850   1.707838   1.790272   1.875125   1.962362   2.051944   
1.263636   1.331111   1.401085   1.473561   1.548535   1.625995   1.705924   1.788302   1.873097   1.960278   2.049806   
1.262076   1.329491   1.399407   1.471824   1.546739   1.624140   1.704012   1.786332   1.871071   1.958197   2.047669   
1.260516   1.327873   1.397730   1.470088   1.544944   1.622287   1.702101   1.784364   1.869046   1.956116   2.045534   
1.258959   1.326257   1.396054   1.468354   1.543151   1.620436   1.700192   1.782397   1.867023   1.954037   2.043400   
1.257402   1.324641   1.394380   1.466621   1.541359   1.618586   1.698284   1.780431   1.865001   1.951959   2.041267   
1.255847   1.323028   1.392707   1.464889   1.539569   1.616737   1.696377   1.778467   1.862980   1.949882   2.039136   
1.254294   1.321415   1.391036   1.463159   1.537780   1.614889   1.694471   1.776504   1.860960   1.947807   2.037005   
1.252741   1.319804   1.389366   1.461430   1.535992   1.613043   1.692567   1.774543   1.858942   1.945733   2.034876   
1.251190   1.318194   1.387697   1.459702   1.534206   1.611198   1.690665   1.772583   1.856925   1.943660   2.032749   
1.249641   1.316586   1.386030   1.457976   1.532421   1.609355   1.688763   1.770624   1.854910   1.941589   2.030622   
